model,roc_auc,brier_score,log_loss,actual_positive_rate,mean_predicted_probability,mean_probability_bias,elapsed_seconds
isotonic,0.9258401962744586,0.08997295273885156,0.2861275446960405,0.24092358523185678,0.24095153468435812,2.7949452501341288e-05,1.5182172919999175
sigmoid,0.9262218635636311,0.0899870933324622,0.28283876047427625,0.24092358523185678,0.2409483370851482,2.475185329142704e-05,2.5372268329997496
uncalibrated,0.925759193012682,0.11117135473222424,0.3375916064510817,0.24092358523185678,0.3459188937495233,0.1049953085176665,1.9328239579999718
