group_column,group_value,n,n_actual_positive,recall,false_negative_rate,reliable
sex,Female,2130,254,0.8031496062992126,0.19685039370078738,True
sex,Male,4378,1314,0.9033485540334856,0.09665144596651443,True
race,Amer-Indian-Eskimo,66,9,0.5555555555555556,0.4444444444444444,False
race,Asian-Pac-Islander,208,55,0.7818181818181819,0.21818181818181814,True
race,Black,644,87,0.8160919540229885,0.1839080459770115,True
race,Other,65,4,1.0,0.0,False
race,White,5525,1413,0.897381457891012,0.10261854210898802,True
