group_column,group_value,n,n_actual_positive,recall,false_negative_rate,reliable
sex,Female,2130,254,0.5905511811023622,0.40944881889763785,True
sex,Male,4378,1314,0.6910197869101978,0.30898021308980217,True
race,Amer-Indian-Eskimo,66,9,0.4444444444444444,0.5555555555555556,False
race,Asian-Pac-Islander,208,55,0.6727272727272727,0.32727272727272727,True
race,Black,644,87,0.5747126436781609,0.4252873563218391,True
race,Other,65,4,1.0,0.0,False
race,White,5525,1413,0.6815286624203821,0.3184713375796179,True
